,date,location,time,PM2.5
285,2016/01/12,中壢,21.0,16.0
286,2016/01/12,中壢,22.0,15.0
287,2016/01/12,中壢,23.0,13.0
288,2016/01/13,中壢,0.0,8.0
289,2016/01/13,中壢,1.0,7.0
290,2016/01/13,中壢,2.0,8.0
291,2016/01/13,中壢,3.0,13.0
292,2016/01/13,中壢,4.0,13.0
293,2016/01/13,中壢,5.0,14.0
294,2016/01/13,中壢,6.0,12.0
295,2016/01/13,中壢,7.0,
296,2016/01/13,中壢,8.0,
297,2016/01/13,中壢,9.0,319*
298,2016/01/13,中壢,10.0,314*
299,2016/01/13,中壢,11.0,12
300,2016/01/13,中壢,12.0,13
301,2016/01/13,中壢,13.0,17
302,2016/01/13,中壢,14.0,18
303,2016/01/13,中壢,15.0,18
304,2016/01/13,中壢,16.0,14
305,2016/01/13,中壢,17.0,19
306,2016/01/13,中壢,18.0,25
307,2016/01/13,中壢,19.0,33
308,2016/01/13,中壢,20.0,33
309,2016/01/13,中壢,21.0,25
310,2016/01/13,中壢,22.0,33
311,2016/01/13,中壢,23.0,33
312,2016/01/14,中壢,0.0,32
313,2016/01/14,中壢,1.0,28
314,2016/01/14,中壢,2.0,21
315,2016/01/14,中壢,3.0,21
316,2016/01/14,中壢,4.0,30
317,2016/01/14,中壢,5.0,30
318,2016/01/14,中壢,6.0,54
319,2016/01/14,中壢,7.0,43
320,2016/01/14,中壢,8.0,48
321,2016/01/14,中壢,9.0,48
322,2016/01/14,中壢,10.0,50
323,2016/01/14,中壢,11.0,46
324,2016/01/14,中壢,12.0,53
325,2016/01/14,中壢,13.0,49
326,2016/01/14,中壢,14.0,48
327,2016/01/14,中壢,15.0,44
328,2016/01/14,中壢,16.0,41
329,2016/01/14,中壢,17.0,44
330,2016/01/14,中壢,18.0,41
331,2016/01/14,中壢,19.0,46
332,2016/01/14,中壢,20.0,45
333,2016/01/14,中壢,21.0,41
334,2016/01/14,中壢,22.0,46
335,2016/01/14,中壢,23.0,45
336,2016/01/15,中壢,0.0,51
337,2016/01/15,中壢,1.0,46
338,2016/01/15,中壢,2.0,51
339,2016/01/15,中壢,3.0,48
340,2016/01/15,中壢,4.0,55
341,2016/01/15,中壢,5.0,37
342,2016/01/15,中壢,6.0,36
343,2016/01/15,中壢,7.0,54
344,2016/01/15,中壢,8.0,48
345,2016/01/15,中壢,9.0,52
346,2016/01/15,中壢,10.0,42
347,2016/01/15,中壢,11.0,45
348,2016/01/15,中壢,12.0,42
349,2016/01/15,中壢,13.0,46
350,2016/01/15,中壢,14.0,42
351,2016/01/15,中壢,15.0,40
352,2016/01/15,中壢,16.0,40
353,2016/01/15,中壢,17.0,40
354,2016/01/15,中壢,18.0,36
355,2016/01/15,中壢,19.0,30
356,2016/01/15,中壢,20.0,25
357,2016/01/15,中壢,21.0,36
358,2016/01/15,中壢,22.0,30
359,2016/01/15,中壢,23.0,25
360,2016/01/16,中壢,0.0,31
361,2016/01/16,中壢,1.0,26
362,2016/01/16,中壢,2.0,32
363,2016/01/16,中壢,3.0,18
364,2016/01/16,中壢,4.0,18
365,2016/01/16,中壢,5.0,9
366,2016/01/16,中壢,6.0,19
367,2016/01/16,中壢,7.0,20
368,2016/01/16,中壢,8.0,15
369,2016/01/16,中壢,9.0,10
370,2016/01/16,中壢,10.0,2
371,2016/01/16,中壢,11.0,3
372,2016/01/16,中壢,12.0,4
373,2016/01/16,中壢,13.0,6
374,2016/01/16,中壢,14.0,15
375,2016/01/16,中壢,15.0,20
376,2016/01/16,中壢,16.0,17
377,2016/01/16,中壢,17.0,9
378,2016/01/16,中壢,18.0,3
379,2016/01/16,中壢,19.0,9
380,2016/01/16,中壢,20.0,10
381,2016/01/16,中壢,21.0,3
382,2016/01/16,中壢,22.0,9
383,2016/01/16,中壢,23.0,10
384,2016/01/17,中壢,0.0,13
385,2016/01/17,中壢,1.0,12
386,2016/01/17,中壢,2.0,16
387,2016/01/17,中壢,3.0,18
388,2016/01/17,中壢,4.0,15
389,2016/01/17,中壢,5.0,10
390,2016/01/17,中壢,6.0,12
391,2016/01/17,中壢,7.0,17
392,2016/01/17,中壢,8.0,11
393,2016/01/17,中壢,9.0,8
394,2016/01/17,中壢,10.0,10
395,2016/01/17,中壢,11.0,7
396,2016/01/17,中壢,12.0,7
397,2016/01/17,中壢,13.0,7
398,2016/01/17,中壢,14.0,6
399,2016/01/17,中壢,15.0,7
400,2016/01/17,中壢,16.0,-2
401,2016/01/17,中壢,17.0,7
402,2016/01/17,中壢,18.0,8
403,2016/01/17,中壢,19.0,12
404,2016/01/17,中壢,20.0,12
405,2016/01/17,中壢,21.0,8
406,2016/01/17,中壢,22.0,12
407,2016/01/17,中壢,23.0,12
408,2016/01/18,中壢,0.0,10
409,2016/01/18,中壢,1.0,13
410,2016/01/18,中壢,2.0,12
411,2016/01/18,中壢,3.0,9
412,2016/01/18,中壢,4.0,5
413,2016/01/18,中壢,5.0,3
414,2016/01/18,中壢,6.0,10
415,2016/01/18,中壢,7.0,22
416,2016/01/18,中壢,8.0,33
417,2016/01/18,中壢,9.0,36
418,2016/01/18,中壢,10.0,43
419,2016/01/18,中壢,11.0,33
420,2016/01/18,中壢,12.0,32
421,2016/01/18,中壢,13.0,30
422,2016/01/18,中壢,14.0,38
423,2016/01/18,中壢,15.0,43
424,2016/01/18,中壢,16.0,43
425,2016/01/18,中壢,17.0,38
426,2016/01/18,中壢,18.0,31
427,2016/01/18,中壢,19.0,39
428,2016/01/18,中壢,20.0,44
429,2016/01/18,中壢,21.0,31
430,2016/01/18,中壢,22.0,39
431,2016/01/18,中壢,23.0,44
432,2016/01/19,中壢,0.0,52
433,2016/01/19,中壢,1.0,54
434,2016/01/19,中壢,2.0,54
435,2016/01/19,中壢,3.0,58
436,2016/01/19,中壢,4.0,65
437,2016/01/19,中壢,5.0,71
438,2016/01/19,中壢,6.0,72
439,2016/01/19,中壢,7.0,69
440,2016/01/19,中壢,8.0,62
441,2016/01/19,中壢,9.0,60
442,2016/01/19,中壢,10.0,57
443,2016/01/19,中壢,11.0,65
444,2016/01/19,中壢,12.0,60
445,2016/01/19,中壢,13.0,52
446,2016/01/19,中壢,14.0,41
447,2016/01/19,中壢,15.0,39
448,2016/01/19,中壢,16.0,43
449,2016/01/19,中壢,17.0,36
450,2016/01/19,中壢,18.0,33
451,2016/01/19,中壢,19.0,22
452,2016/01/19,中壢,20.0,24
453,2016/01/19,中壢,21.0,33
454,2016/01/19,中壢,22.0,22
455,2016/01/19,中壢,23.0,24
456,2016/01/20,中壢,0.0,22
457,2016/01/20,中壢,1.0,24
458,2016/01/20,中壢,2.0,18
459,2016/01/20,中壢,3.0,20
460,2016/01/20,中壢,4.0,19
461,2016/01/20,中壢,5.0,24
462,2016/01/20,中壢,6.0,14
463,2016/01/20,中壢,7.0,16
464,2016/01/20,中壢,8.0,15
465,2016/01/20,中壢,9.0,9
466,2016/01/20,中壢,10.0,8
467,2016/01/20,中壢,11.0,9
468,2016/01/20,中壢,12.0,4
469,2016/01/20,中壢,13.0,4
470,2016/01/20,中壢,14.0,4
471,2016/01/20,中壢,15.0,4
472,2016/01/20,中壢,16.0,6
473,2016/01/20,中壢,17.0,6
474,2016/01/20,中壢,18.0,16
475,2016/01/20,中壢,19.0,18
476,2016/01/20,中壢,20.0,21
477,2016/01/20,中壢,21.0,16
478,2016/01/20,中壢,22.0,18
479,2016/01/20,中壢,23.0,21
480,2016/01/21,中壢,0.0,15
481,2016/01/21,中壢,1.0,13
482,2016/01/21,中壢,2.0,8
483,2016/01/21,中壢,3.0,9
484,2016/01/21,中壢,4.0,4
485,2016/01/21,中壢,5.0,8
486,2016/01/21,中壢,6.0,9
487,2016/01/21,中壢,7.0,6
488,2016/01/21,中壢,8.0,8
489,2016/01/21,中壢,9.0,4
490,2016/01/21,中壢,10.0,11
491,2016/01/21,中壢,11.0,
492,2016/01/21,中壢,12.0,10
493,2016/01/21,中壢,13.0,4
494,2016/01/21,中壢,14.0,4
495,2016/01/21,中壢,15.0,1
496,2016/01/21,中壢,16.0,1
497,2016/01/21,中壢,17.0,1
498,2016/01/21,中壢,18.0,2
499,2016/01/21,中壢,19.0,5
500,2016/01/21,中壢,20.0,5
501,2016/01/21,中壢,21.0,2
502,2016/01/21,中壢,22.0,5
503,2016/01/21,中壢,23.0,5
504,2016/01/22,中壢,0.0,3
505,2016/01/22,中壢,1.0,1
506,2016/01/22,中壢,2.0,3
507,2016/01/22,中壢,3.0,10
508,2016/01/22,中壢,4.0,11
509,2016/01/22,中壢,5.0,12
510,2016/01/22,中壢,6.0,10
511,2016/01/22,中壢,7.0,4
512,2016/01/22,中壢,8.0,1
513,2016/01/22,中壢,9.0,1
514,2016/01/22,中壢,10.0,1
515,2016/01/22,中壢,11.0,2
516,2016/01/22,中壢,12.0,5
517,2016/01/22,中壢,13.0,10
518,2016/01/22,中壢,14.0,9
519,2016/01/22,中壢,15.0,15
520,2016/01/22,中壢,16.0,13
521,2016/01/22,中壢,17.0,17
522,2016/01/22,中壢,18.0,8
523,2016/01/22,中壢,19.0,8
524,2016/01/22,中壢,20.0,3
525,2016/01/22,中壢,21.0,8
526,2016/01/22,中壢,22.0,8
527,2016/01/22,中壢,23.0,3
528,2016/01/23,中壢,0.0,3
529,2016/01/23,中壢,1.0,1
530,2016/01/23,中壢,2.0,1
531,2016/01/23,中壢,3.0,2
532,2016/01/23,中壢,4.0,2
533,2016/01/23,中壢,5.0,5
534,2016/01/23,中壢,6.0,9
535,2016/01/23,中壢,7.0,5
536,2016/01/23,中壢,8.0,9
537,2016/01/23,中壢,9.0,10
538,2016/01/23,中壢,10.0,19
539,2016/01/23,中壢,11.0,28
540,2016/01/23,中壢,12.0,37
541,2016/01/23,中壢,13.0,43
542,2016/01/23,中壢,14.0,39
543,2016/01/23,中壢,15.0,43
544,2016/01/23,中壢,16.0,45
545,2016/01/23,中壢,17.0,47
546,2016/01/23,中壢,18.0,45
547,2016/01/23,中壢,19.0,43
548,2016/01/23,中壢,20.0,40
549,2016/01/23,中壢,21.0,45
550,2016/01/23,中壢,22.0,43
551,2016/01/23,中壢,23.0,40
552,2016/01/24,中壢,0.0,36
553,2016/01/24,中壢,1.0,32
554,2016/01/24,中壢,2.0,27
555,2016/01/24,中壢,3.0,19
556,2016/01/24,中壢,4.0,20
557,2016/01/24,中壢,5.0,21
558,2016/01/24,中壢,6.0,24
559,2016/01/24,中壢,7.0,9
560,2016/01/24,中壢,8.0,11
561,2016/01/24,中壢,9.0,16
562,2016/01/24,中壢,10.0,25
563,2016/01/24,中壢,11.0,17
564,2016/01/24,中壢,12.0,12
565,2016/01/24,中壢,13.0,5
566,2016/01/24,中壢,14.0,8
567,2016/01/24,中壢,15.0,16
568,2016/01/24,中壢,16.0,23
569,2016/01/24,中壢,17.0,27
570,2016/01/24,中壢,18.0,23
571,2016/01/24,中壢,19.0,22
572,2016/01/24,中壢,20.0,15
573,2016/01/24,中壢,21.0,23
574,2016/01/24,中壢,22.0,22
575,2016/01/24,中壢,23.0,15
576,2016/01/25,中壢,0.0,14
577,2016/01/25,中壢,1.0,12
578,2016/01/25,中壢,2.0,8
579,2016/01/25,中壢,3.0,7
580,2016/01/25,中壢,4.0,1
581,2016/01/25,中壢,5.0,7
582,2016/01/25,中壢,6.0,13
583,2016/01/25,中壢,7.0,
584,2016/01/25,中壢,8.0,6
585,2016/01/25,中壢,9.0,7
586,2016/01/25,中壢,10.0,10
587,2016/01/25,中壢,11.0,17
588,2016/01/25,中壢,12.0,17
589,2016/01/25,中壢,13.0,18
590,2016/01/25,中壢,14.0,19
591,2016/01/25,中壢,15.0,15
592,2016/01/25,中壢,16.0,26
593,2016/01/25,中壢,17.0,25
594,2016/01/25,中壢,18.0,33
595,2016/01/25,中壢,19.0,17
596,2016/01/25,中壢,20.0,19
597,2016/01/25,中壢,21.0,33
598,2016/01/25,中壢,22.0,17
599,2016/01/25,中壢,23.0,19
600,2016/01/26,中壢,0.0,15
601,2016/01/26,中壢,1.0,19
602,2016/01/26,中壢,2.0,17
603,2016/01/26,中壢,3.0,16
604,2016/01/26,中壢,4.0,15
605,2016/01/26,中壢,5.0,14
606,2016/01/26,中壢,6.0,18
607,2016/01/26,中壢,7.0,10
608,2016/01/26,中壢,8.0,8
609,2016/01/26,中壢,9.0,10
610,2016/01/26,中壢,10.0,5
611,2016/01/26,中壢,11.0,6
612,2016/01/26,中壢,12.0,8
613,2016/01/26,中壢,13.0,12
614,2016/01/26,中壢,14.0,17
615,2016/01/26,中壢,15.0,16
616,2016/01/26,中壢,16.0,18
617,2016/01/26,中壢,17.0,12
618,2016/01/26,中壢,18.0,18
619,2016/01/26,中壢,19.0,19
620,2016/01/26,中壢,20.0,18
621,2016/01/26,中壢,21.0,18
622,2016/01/26,中壢,22.0,19
623,2016/01/26,中壢,23.0,18
624,2016/01/27,中壢,0.0,13
625,2016/01/27,中壢,1.0,6
626,2016/01/27,中壢,2.0,4
627,2016/01/27,中壢,3.0,3
628,2016/01/27,中壢,4.0,9
629,2016/01/27,中壢,5.0,7
630,2016/01/27,中壢,6.0,14
631,2016/01/27,中壢,7.0,34
632,2016/01/27,中壢,8.0,28
633,2016/01/27,中壢,9.0,26
634,2016/01/27,中壢,10.0,22
635,2016/01/27,中壢,11.0,24
636,2016/01/27,中壢,12.0,18
637,2016/01/27,中壢,13.0,18
638,2016/01/27,中壢,14.0,19
639,2016/01/27,中壢,15.0,26
640,2016/01/27,中壢,16.0,30
641,2016/01/27,中壢,17.0,25
642,2016/01/27,中壢,18.0,27
643,2016/01/27,中壢,19.0,31
644,2016/01/27,中壢,20.0,38
645,2016/01/27,中壢,21.0,27
646,2016/01/27,中壢,22.0,31
647,2016/01/27,中壢,23.0,38
648,2016/01/28,中壢,0.0,36
649,2016/01/28,中壢,1.0,34
650,2016/01/28,中壢,2.0,30
651,2016/01/28,中壢,3.0,30
652,2016/01/28,中壢,4.0,32
653,2016/01/28,中壢,5.0,37
654,2016/01/28,中壢,6.0,36
655,2016/01/28,中壢,7.0,40
656,2016/01/28,中壢,8.0,44
657,2016/01/28,中壢,9.0,43
658,2016/01/28,中壢,10.0,43
659,2016/01/28,中壢,11.0,35
660,2016/01/28,中壢,12.0,31
661,2016/01/28,中壢,13.0,21
662,2016/01/28,中壢,14.0,19
663,2016/01/28,中壢,15.0,8
664,2016/01/28,中壢,16.0,11
665,2016/01/28,中壢,17.0,9
666,2016/01/28,中壢,18.0,12
667,2016/01/28,中壢,19.0,10
668,2016/01/28,中壢,20.0,5
669,2016/01/28,中壢,21.0,12
670,2016/01/28,中壢,22.0,10
671,2016/01/28,中壢,23.0,5
672,2016/01/29,中壢,0.0,7
673,2016/01/29,中壢,1.0,6
674,2016/01/29,中壢,2.0,9
675,2016/01/29,中壢,3.0,11
676,2016/01/29,中壢,4.0,10
677,2016/01/29,中壢,5.0,11
678,2016/01/29,中壢,6.0,9
679,2016/01/29,中壢,7.0,8
680,2016/01/29,中壢,8.0,8
681,2016/01/29,中壢,9.0,3
682,2016/01/29,中壢,10.0,7
683,2016/01/29,中壢,11.0,9
684,2016/01/29,中壢,12.0,13
685,2016/01/29,中壢,13.0,13
686,2016/01/29,中壢,14.0,20
