,date,location,time,PM2.5
183,2016/01/08,оч╢щ,15.0,32.0
184,2016/01/08,оч╢щ,16.0,20.0
185,2016/01/08,оч╢щ,17.0,20.0
186,2016/01/08,оч╢щ,18.0,11.0
187,2016/01/08,оч╢щ,19.0,10.0
188,2016/01/08,оч╢щ,20.0,10.0
189,2016/01/08,оч╢щ,21.0,11.0
190,2016/01/08,оч╢щ,22.0,10.0
191,2016/01/08,оч╢щ,23.0,10.0
192,2016/01/09,оч╢щ,0.0,19.0
193,2016/01/09,оч╢щ,1.0,23.0
194,2016/01/09,оч╢щ,2.0,23.0
195,2016/01/09,оч╢щ,3.0,23.0
196,2016/01/09,оч╢щ,4.0,23.0
197,2016/01/09,оч╢щ,5.0,23.0
198,2016/01/09,оч╢щ,6.0,23.0
199,2016/01/09,оч╢щ,7.0,20.0
200,2016/01/09,оч╢щ,8.0,22.0
201,2016/01/09,оч╢щ,9.0,22.0
202,2016/01/09,оч╢щ,10.0,22.0
203,2016/01/09,оч╢щ,11.0,29.0
204,2016/01/09,оч╢щ,12.0,29.0
205,2016/01/09,оч╢щ,13.0,26.0
206,2016/01/09,оч╢щ,14.0,23.0
207,2016/01/09,оч╢щ,15.0,23.0
208,2016/01/09,оч╢щ,16.0,23.0
209,2016/01/09,оч╢щ,17.0,31.0
210,2016/01/09,оч╢щ,18.0,31.0
211,2016/01/09,оч╢щ,19.0,26.0
212,2016/01/09,оч╢щ,20.0,28.0
213,2016/01/09,оч╢щ,21.0,31.0
214,2016/01/09,оч╢щ,22.0,26.0
215,2016/01/09,оч╢щ,23.0,28.0
216,2016/01/10,оч╢щ,0.0,21.0
217,2016/01/10,оч╢щ,1.0,21.0
218,2016/01/10,оч╢щ,2.0,21.0
219,2016/01/10,оч╢щ,3.0,25.0
220,2016/01/10,оч╢щ,4.0,28.0
221,2016/01/10,оч╢щ,5.0,26.0
222,2016/01/10,оч╢щ,6.0,23.0
223,2016/01/10,оч╢щ,7.0,39.0
224,2016/01/10,оч╢щ,8.0,39.0
225,2016/01/10,оч╢щ,9.0,36.0
226,2016/01/10,оч╢щ,10.0,25.0
227,2016/01/10,оч╢щ,11.0,25.0
228,2016/01/10,оч╢щ,12.0,26.0
229,2016/01/10,оч╢щ,13.0,30.0
230,2016/01/10,оч╢щ,14.0,26.0
231,2016/01/10,оч╢щ,15.0,26.0
232,2016/01/10,оч╢щ,16.0,29.0
233,2016/01/10,оч╢щ,17.0,29.0
234,2016/01/10,оч╢щ,18.0,26.0
235,2016/01/10,оч╢щ,19.0,25.0
236,2016/01/10,оч╢щ,20.0,21.0
237,2016/01/10,оч╢щ,21.0,26.0
238,2016/01/10,оч╢щ,22.0,25.0
239,2016/01/10,оч╢щ,23.0,21.0
240,2016/01/11,оч╢щ,0.0,21.0
241,2016/01/11,оч╢щ,1.0,18.0
242,2016/01/11,оч╢щ,2.0,18.0
243,2016/01/11,оч╢щ,3.0,13.0
244,2016/01/11,оч╢щ,4.0,4.0
245,2016/01/11,оч╢щ,5.0,1.0
246,2016/01/11,оч╢щ,6.0,4.0
247,2016/01/11,оч╢щ,7.0,8.0
248,2016/01/11,оч╢щ,8.0,8.0
249,2016/01/11,оч╢щ,9.0,8.0
250,2016/01/11,оч╢щ,10.0,7.0
251,2016/01/11,оч╢щ,11.0,9.0
252,2016/01/11,оч╢щ,12.0,10.0
253,2016/01/11,оч╢щ,13.0,10.0
254,2016/01/11,оч╢щ,14.0,9.0
255,2016/01/11,оч╢щ,15.0,2.0
256,2016/01/11,оч╢щ,16.0,2.0
257,2016/01/11,оч╢щ,17.0,-1.0
258,2016/01/11,оч╢щ,18.0,3.0
259,2016/01/11,оч╢щ,19.0,3.0
260,2016/01/11,оч╢щ,20.0,3.0
261,2016/01/11,оч╢щ,21.0,3.0
262,2016/01/11,оч╢щ,22.0,3.0
263,2016/01/11,оч╢щ,23.0,3.0
264,2016/01/12,оч╢щ,0.0,3.0
265,2016/01/12,оч╢щ,1.0,1.0
266,2016/01/12,оч╢щ,2.0,7.0
267,2016/01/12,оч╢щ,3.0,6.0
268,2016/01/12,оч╢щ,4.0,9.0
269,2016/01/12,оч╢щ,5.0,9.0
270,2016/01/12,оч╢щ,6.0,9.0
271,2016/01/12,оч╢щ,7.0,9.0
272,2016/01/12,оч╢щ,8.0,9.0
273,2016/01/12,оч╢щ,9.0,11.0
274,2016/01/12,оч╢щ,10.0,8.0
275,2016/01/12,оч╢щ,11.0,
276,2016/01/12,оч╢щ,12.0,11.0
277,2016/01/12,оч╢щ,13.0,9.0
278,2016/01/12,оч╢щ,14.0,9.0
279,2016/01/12,оч╢щ,15.0,17.0
280,2016/01/12,оч╢щ,16.0,15.0
281,2016/01/12,оч╢щ,17.0,15.0
282,2016/01/12,оч╢щ,18.0,17.0
283,2016/01/12,оч╢щ,19.0,18.0
284,2016/01/12,оч╢щ,20.0,18.0
285,2016/01/12,оч╢щ,21.0,17.0
286,2016/01/12,оч╢щ,22.0,18.0
287,2016/01/12,оч╢щ,23.0,18.0
288,2016/01/13,оч╢щ,0.0,18.0
289,2016/01/13,оч╢щ,1.0,15.0
290,2016/01/13,оч╢щ,2.0,9.0
291,2016/01/13,оч╢щ,3.0,8.0
292,2016/01/13,оч╢щ,4.0,8.0
293,2016/01/13,оч╢щ,5.0,7.0
294,2016/01/13,оч╢щ,6.0,5.0
295,2016/01/13,оч╢щ,7.0,9.0
296,2016/01/13,оч╢щ,8.0,12.0
297,2016/01/13,оч╢щ,9.0,12.0
298,2016/01/13,оч╢щ,10.0,4.0
299,2016/01/13,оч╢щ,11.0,9.0
300,2016/01/13,оч╢щ,12.0,9.0
301,2016/01/13,оч╢щ,13.0,15.0
302,2016/01/13,оч╢щ,14.0,14.0
303,2016/01/13,оч╢щ,15.0,14.0
304,2016/01/13,оч╢щ,16.0,18.0
305,2016/01/13,оч╢щ,17.0,16.0
306,2016/01/13,оч╢щ,18.0,23.0
307,2016/01/13,оч╢щ,19.0,25.0
308,2016/01/13,оч╢щ,20.0,30.0
309,2016/01/13,оч╢щ,21.0,23.0
310,2016/01/13,оч╢щ,22.0,25.0
311,2016/01/13,оч╢щ,23.0,30.0
312,2016/01/14,оч╢щ,0.0,24.0
313,2016/01/14,оч╢щ,1.0,19.0
314,2016/01/14,оч╢щ,2.0,22.0
315,2016/01/14,оч╢щ,3.0,22.0
316,2016/01/14,оч╢щ,4.0,25.0
317,2016/01/14,оч╢щ,5.0,25.0
318,2016/01/14,оч╢щ,6.0,34.0
319,2016/01/14,оч╢щ,7.0,49.0
320,2016/01/14,оч╢щ,8.0,46.0
321,2016/01/14,оч╢щ,9.0,47.0
322,2016/01/14,оч╢щ,10.0,41.0
323,2016/01/14,оч╢щ,11.0,41.0
324,2016/01/14,оч╢щ,12.0,46.0
325,2016/01/14,оч╢щ,13.0,41.0
326,2016/01/14,оч╢щ,14.0,45.0
327,2016/01/14,оч╢щ,15.0,40.0
328,2016/01/14,оч╢щ,16.0,38.0
329,2016/01/14,оч╢щ,17.0,41.0
330,2016/01/14,оч╢щ,18.0,41.0
331,2016/01/14,оч╢щ,19.0,43.0
332,2016/01/14,оч╢щ,20.0,39.0
333,2016/01/14,оч╢щ,21.0,41.0
